date,demand,RRP,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
1/1/2015,99635.03,25.63369643,0.020833334,13.3,26.9,23.6,0,0,1
1/2/2015,129606.01,33.13898756,0.0625,15.4,38.8,26.8,0,0,0
1/3/2015,142300.54,34.56485483,0,20,38.2,26.5,0,0,0
1/4/2015,104330.715,25.00556024,0,16.3,21.4,25.2,4.2,0,0
1/5/2015,118132.2,26.72417628,0,15,22,30.7,0,0,0
1/6/2015,130672.485,31.28231073,0,17.7,26,31.6,0,0,0
1/7/2015,153514.82,48.31230938,0.020833334,18.9,37.4,20.7,0,0,0
1/8/2015,142015.655,49.1172803,0,23.1,28.2,13.5,19.4,0,0
1/9/2015,121801.155,34.49067545,0,16.5,18,3.1,1.2,0,0
1/10/2015,103043.66,20.2298249,0,13.6,21.7,5.6,5.2,0,0
1/11/2015,99865.755,18.23476806,0,15.6,27.5,29.9,0,0,0
1/12/2015,131261.125,33.69481017,0,16.1,31.3,31.6,0,0,0
1/13/2015,126527.36,27.53786427,0,20.2,25.6,4.2,0,0,0
1/14/2015,119741.62,29.01851661,0,18.3,22.7,15.2,15.8,0,0
1/15/2015,118411.22,30.93653879,0,15.8,20,14.6,0,0,0
1/16/2015,116690.765,23.01519088,0,13.1,27.3,30.3,0,0,0
1/17/2015,99371.31,18.99492729,0,15.9,25,27.5,0,0,0
1/18/2015,97728.75,17.00868088,0.020833334,15.3,19.5,23.4,0,0,0
1/19/2015,116883.15,26.92787619,0,13.5,23.6,29,0,0,0
1/20/2015,128968.125,23.07807414,0,13,30.4,19.6,0,0,0
1/21/2015,148702.505,34.44341546,0,19.7,33.1,25.8,0,0,0
1/22/2015,153232.1,35.2307614,0,18.7,35.8,23.1,0,0,0
1/23/2015,138095.2,40.60420022,0,20.2,25,28.6,0,0,0
1/24/2015,116310.59,20.92200015,0,15.8,26.3,30.3,0,0,0
1/25/2015,97959.46,16.5414177,0,14.7,22,25.4,0,0,0
1/26/2015,103769.48,16.9360128,0,11.6,19.8,19.9,1,0,1
1/27/2015,118393.31,21.2062886,0,11.7,19.1,17.7,0.6,0,0
1/28/2015,116763.725,17.02383824,0,13.3,25.4,27,0,0,0
1/29/2015,119313.73,19.62482736,0,12.8,22.2,28.9,0,1,0
1/30/2015,121018.15,21.02935608,0,13.1,21,27.6,0,1,0
1/31/2015,103822.97,16.53884673,0,14.3,20.2,26.2,0,1,0
2/1/2015,100178.84,14.57884442,0,13.2,19,17.3,9.2,1,0
2/2/2015,118694.16,22.27003219,0,13.5,21.1,23.9,3.8,1,0
2/3/2015,122880.13,27.00383233,0,16.1,20,22.7,0,1,0
2/4/2015,117398.03,27.8091342,0,14.8,19,21.2,0,1,0
2/5/2015,122279.425,31.38457074,0,13.3,24.2,28.8,0,1,0
2/6/2015,141837.005,38.84018027,0,14.5,35.7,28.4,0,1,0
2/7/2015,132138.365,28.76170678,0,18.8,35,16.1,0,1,0
2/8/2015,112108.215,23.9741066,0,18.9,21.5,16.6,0,1,0
2/9/2015,126813.075,28.90913471,0,13.6,28.3,28.6,0,1,0
2/10/2015,145948.565,37.52259998,0,16.4,27.8,27.7,0,1,0
2/11/2015,149322.85,32.6554543,0,18.1,26.8,24.1,0,1,0
2/12/2015,131376.78,26.57663494,0,17.8,21.9,23.8,0,1,0
2/13/2015,136070.62,18.73697061,0.020833334,16.1,32.4,14.9,0,1,0
2/14/2015,119692.025,20.24010323,0,19,25.1,20.8,19.6,1,0
2/15/2015,125287.71,24.58418694,0,18.2,34.4,25.7,0.4,1,0
2/16/2015,131832.63,31.9490406,0,17.4,24.6,26.3,0,1,0
2/17/2015,127666.01,30.25014939,0,17.6,20.6,8.3,0,1,0
2/18/2015,125972.765,30.23579275,0,17.7,21.2,7.8,0,1,0
2/19/2015,139399.69,33.59896068,0,18.2,26.9,24.7,0,1,0
2/20/2015,139465.675,33.53867153,0,17.4,25.3,24.7,0,1,0
2/21/2015,136283.03,31.25281984,0,18.1,36.1,20,0,1,0
2/22/2015,138016.35,32.40972721,0,20.3,35.3,11.7,1.6,1,0
2/23/2015,135255.815,28.41722913,0.020833334,21.1,29.3,4.7,0,1,0
2/24/2015,120263.515,26.5590119,0,15.9,20.1,21.4,3.2,1,0
2/25/2015,130062.755,33.32324959,0,14,27,24.1,0,1,0
2/26/2015,131525.855,39.08657834,0,16,23.2,18.5,0,1,0
2/27/2015,131069.4,36.33901155,0,14.8,24.3,21.7,0,1,0
2/28/2015,116275.73,25.14313073,0,17.9,32.3,6.9,0,1,0
3/1/2015,103462.78,24.58614815,0,15.2,20.8,23.3,15.8,1,0
3/2/2015,123301.835,33.16652623,0,11.6,23,22,0,1,0
3/3/2015,126750.29,43.73945714,0,15.5,22.7,21.2,0,1,0
3/4/2015,120764.185,37.25248391,0,15.4,23.5,23,0,1,0
3/5/2015,114967.345,25.3228281,0,12.6,18.6,22.5,0.8,1,0
3/6/2015,117053.75,27.75052169,0,14.1,21.1,10.8,0.2,1,0
3/7/2015,108344.575,22.11321454,0,15.4,22.6,10.8,0.2,1,0
3/8/2015,106348.78,20.57443413,0,16.2,24.4,20.4,0,1,0
3/9/2015,108282.48,23.80806827,0,14.4,23.8,18.6,0,1,1
3/10/2015,125828.53,31.76374918,0,16.2,21.7,22.1,0,1,0
3/11/2015,124418.415,33.59649288,0,11.2,23.8,22.3,0,1,0
3/12/2015,121683.65,26.04050589,0,13,19.9,18.7,0,1,0
3/13/2015,120929.815,24.19536323,0,14.4,20.4,21.2,0,1,0
3/14/2015,108738.82,17.39452956,0,9.4,30.1,20,0,1,0
3/15/2015,100170.295,14.3730994,0,13.1,18.3,17.5,2.2,1,0
3/16/2015,123787.075,22.66079993,0,10.5,25.5,14.5,0,1,0
3/17/2015,125600.86,21.38556947,0,13,26.2,4.8,0,1,0
3/18/2015,127975.815,24.43863773,0,17.8,24.4,9.4,1.4,1,0
3/19/2015,128319.45,24.56824098,0,16.5,33.5,15.1,0,1,0
3/20/2015,119491.32,24.06816285,0,14.2,19.6,19.9,0,1,0
3/21/2015,106754.8,20.47371461,0,11.9,22.7,20.8,0,1,0
3/22/2015,106555.03,18.91869559,0,11.3,28.8,19.9,0,1,0
3/23/2015,122810.05,26.68562798,0,13.6,27,3.9,0,1,0
3/24/2015,123234.935,34.05849946,0,12.6,15.3,3.8,1.4,1,0
3/25/2015,122268.86,28.54875424,0,13,20.4,13.8,0.4,1,0
3/26/2015,121998.2,21.9713629,0,9.8,18,9.9,0.4,1,0
3/27/2015,122346.335,25.77160038,0,11.6,18.1,11.2,0.2,0,0
3/28/2015,112187.715,29.27136869,0,12.7,19.1,14.4,0,0,0
3/29/2015,106418.665,24.67271635,0,8.5,22.7,18.6,0,0,0
3/30/2015,123061.87,33.7503627,0,10.6,23.1,18.1,0,0,0
3/31/2015,125795.325,31.83656958,0,11.2,25.3,18.1,0,0,0
4/1/2015,122042.265,26.16780586,0,13.3,29,10.7,0,0,0
4/2/2015,113838.41,23.46025058,0,12.8,17.2,17.5,0.2,0,0
4/3/2015,98891.06,20.9393785,0,8,20.9,17.4,0,0,1
4/4/2015,103999.17,23.18805617,0,8.5,23.5,16.2,0,0,1
4/5/2015,103685.45,20.50865038,0,10.2,18.5,9.8,0,0,0
4/6/2015,107383.37,17.04855264,0,11.2,18.4,13,0,0,1
4/7/2015,120235.505,21.35945999,0.020833334,12.4,17.3,3.9,0,0,0
4/8/2015,122129.775,25.20801652,0,13.3,17.7,12.6,5.6,0,0
4/9/2015,123990.76,25.20780037,0,8.7,19.1,10.9,0,0,0
4/10/2015,121753.115,25.6771108,0,8.6,18.7,15.9,0,0,0
4/11/2015,110034.165,23.05591231,0,11.6,23.7,14.9,0,0,0
4/12/2015,103760.225,22.05303719,0,12.1,18.3,13.4,0,0,0
4/13/2015,125107.78,29.40828908,0,7.3,19.1,14.9,0,0,0
4/14/2015,127793.38,30.99517563,0,10.5,24.7,8.4,1.6,1,0
4/15/2015,126673.935,31.09055848,0,13.9,27.6,12.8,2.4,1,0
4/16/2015,126937.94,40.68150885,0,15.6,17.8,10.9,0,1,0
4/17/2015,131031.415,33.98750482,0,10.1,17.1,7.5,0,1,0
4/18/2015,109763.985,26.14012894,0,13.5,21.9,9.9,3.6,1,0
4/19/2015,107160.54,24.54069444,0,9.7,14.7,11,6.4,1,0
4/20/2015,126696.19,33.67717583,0,7,16.2,12.7,1.4,1,0
4/21/2015,127973.585,30.4731569,0,6.5,17.7,13.8,0,1,0
4/22/2015,128598.495,36.69528357,0,9.1,19.5,7.1,0,1,0
4/23/2015,126483.805,35.42248474,0,12.2,19.2,7.5,0,1,0
4/24/2015,126230.785,36.4979363,0,14.4,21.1,7.8,0,1,0
4/25/2015,111803.625,25.97830858,0,11.6,15,3.5,3,1,1
4/26/2015,108217.82,28.95541976,0,10.4,15.4,5.9,7,1,0
4/27/2015,127855.22,48.67306836,0,10.5,15.1,8.3,4,1,0
4/28/2015,132642.14,46.2680344,0,10.1,16,8.9,1.6,1,0
4/29/2015,132814.615,39.82982089,0,7.4,17.1,12.6,0,1,0
4/30/2015,132669.58,39.09265231,0,6.4,19.6,12.3,0,1,0
5/1/2015,126304.445,47.4744621,0,7.9,23.1,12.1,0,1,0
5/2/2015,108487.975,25.8520399,0,11.6,22.2,6.1,0,1,0
5/3/2015,109233.34,30.62706307,0,9.7,18.2,11.2,0,1,0
5/4/2015,122375.47,28.80303794,0,7.5,22.3,11.6,0,1,0
5/5/2015,123734.865,27.38334397,0,9.2,18.1,7.1,0.6,1,0
5/6/2015,129121.86,26.02258938,0,9.5,16.2,7.6,1.4,1,0
5/7/2015,131237.185,29.08203003,0,10.3,15.6,6.9,2.2,1,0
5/8/2015,131138.73,29.07560905,0,10.5,15.9,5.9,0.2,1,0
5/9/2015,108377.05,19.60236047,0,12.8,18.7,7.3,0,1,0
5/10/2015,103811.28,13.27984076,0.22916667,12.8,16.6,5.9,8.6,1,0
5/11/2015,123740.245,28.47548938,0.020833334,12.4,15.9,7.9,2.6,1,0
5/12/2015,129312.58,28.35535897,0,12.8,17.4,5.9,0,1,0
5/13/2015,136903.27,33.6029018,0,6.3,12.8,8.7,6.8,1,0
5/14/2015,135217.65,36.08497609,0,7.3,14.6,6.7,4.4,1,0
5/15/2015,135172.41,32.88820189,0,11.5,14.5,6.2,1.8,1,0
5/16/2015,117136.63,35.11935553,0,11.3,16.2,10.4,0,1,0
5/17/2015,111897.085,30.54759947,0,7.4,20.5,10.3,0,1,0
5/18/2015,127524.8,39.33371288,0,7.2,20.4,10.2,0,1,0
5/19/2015,133235.48,34.03831774,0,9.9,16.2,3.2,0,1,0
5/20/2015,127522.71,30.97608603,0,13.6,18.1,6,2.4,1,0
5/21/2015,135361.195,35.62199843,0,10.3,13.6,3.5,6.2,1,0
5/22/2015,133422.46,34.61410533,0,9.1,14.1,6.7,0.4,1,0
5/23/2015,119331.85,31.22698432,0,10.4,13.3,7.7,0,1,0
5/24/2015,118783.085,31.49325856,0,6,15.6,8.6,0,1,0
